"comment","labels"
"she could show more respect for her staff, follow processes outlined by the department consistently, give credit to staff for ideas they have generated, and have more cultural sensitivity with all families/patients. ","['appreciation']"
"the appreciation from other staff and residents/patients at facility. ","['appreciation']"
"they live out their core values in their treatment of employees/patients' and the public","['appreciation']"
"words of appreciation from staff/patients","['appreciation']"
"i think the residents/patients appreciate the work i do.","['appreciation']"
"the patients/customers and their thanks.  their health being restored ( when possible)","['appreciation']"
"i often feel over worked and under appreciated. my work would feel more meaningful if i didn't have to feel rushed during patient care. it is difficult to keep up with the demands of work and still feel that i am giving my patients/customers exceptional care. we are being forced to do more and more with less and less. ","['appreciation']"
"my personal job is very meaningful. maple groves values are strongly applied to customers/patients not as much between staff/employees. ","['appreciation']"
"send us something positive and encouraging not always negative and telling us what we are doing wrong. tell us we are doing a great job. tell us we are great and wonderful nurses (because we are).tell us you appreciate how hard we work especially with difficult & needy patients/clients and families.","['appreciation']"
"the appreciation we all receive from our patients.the thanks we get from family members.","['appreciation']"
"i appreciate that they evol to constantly put the member/patients first","['appreciation']"
"professional and personal respect - patients/parents being held to behavior standards - managment standing behind the nurses - physicians being guided to provide considered, indicated cares","['appreciation']"
"phs treats its employees and patients/members with respect with a strong essence of security and privacy","['appreciation']"
"you feel as thou you are helping people (patients/families in the community by giving them the respect and diginity they deserve at the eol.","['appreciation']"
"my personal job is very meaningful. maple groves values are strongly applied to customers/patients not as much between staff/employees. ","['appreciation']"
"i feel appreciated
i feel like a make a small difference to the patients/students (in a good way!)
the kids make me smile everyday!!","['appreciation']"
"i have worked her for 10+ years and feel valued. i know i make a difference in families/patients lives and enjoy the work i do. ","['appreciation']"
"my love for the residents/patients i care for.  my job satisfaction most comes from the resident's gratitude for everything the caregivers do with and for them.  i love nursing. ","['appreciation']"
"i like and respect my provider we work well together- i have fun at work - i love my patients- i like everyone i would with - my schedule is great","['appreciation']"
"more staff/family focused.  the staff do not feel appreciated and are very stressed. there is a constant push for faster turn over and some times the patients/staff get lost in the shuffle.","['appreciation']"
"the focus on supporting clients/patients has the same priority as supporting our employees.  everyone feels important and valued!","['appreciation']"
"be more available to the sci division but due to him having to be the ""project manager"" for the new sci building the current division/management/staff/patients lose out (and build frustration). re-evaluating the need for a nurse dm in this division would be appreciated. it is so (so) needed. ","['appreciation']"
"legacy health services cares about our patients/residents and their families. _x000D_
we respect their privacy and work with everybody with respect and dignity. ","['appreciation']"
"that i would be respected as a nurse. i would feel more appreciated if family/patients didn't have free will to verbally abuse me, that emory would have a zero tolerance for anyone verbally abusing their employees.","['appreciation']"
"we really make sure that the patients/family members are heard","['appreciation']"
"i have loved working at this hospital but i think we are growing so much and so fast that we don't appreciate what each individual does.  something very simple that i've noticed- not many people smile and say hello to each other (if they aren't already acquainted).  i remember when people said hi to each other even when they didn't know them and i miss that.  i do still think that everyone is still great with patients/families.","['appreciation']"
"my appreciation comes from making our patients/families experience great; making them feel valued.  ","['appreciation']"
"a positive, healthy environment is truly valued as important forpatients and  family as well as staff.","['appreciation']"
"oftentimes we are limited by hiring staff due to a number of reasons (positions stay open, hiring freeze, etc). as staff, we just keep plowing ahead to meet the needs of the patients/families with full understanding of staffing restrictions. there is often no difference in recognition for continuing to work at a higher level given staffing limitations vs. a lower census.","['appreciation']"
"when physicians/patients say thank you and that i am good at what i do.","['appreciation']"
"i am impressed that ehc has seemed to stick to its stated focus of # 1 on patients/ families and # 2 on employees.  i also appreciate their efforts to have mistakes reported so things can be corrected and/or learned from.","['appreciation']"
"the appreciation from other staff and residents/patients at facility. ","['appreciation']"
"i always feel appreciated at what i do, by a ""thank you"" from my parents/patients, but staff also always say ""thank you"" when leaving the room. the only thing i have noticed is that the well known job titles are mentioned and honored, our job title has yet to be mentioned out there at cooks.","['appreciation']"
"if the ""powers that be"" above my department understood and showed appreciation for what the rehab department does and that we are critical to patient care. patient care should always be the first priority and it doesn't always feel that way. at times it feels cooks is trying to make the families more comfortable than the patients/or patient care.","['appreciation']"
"see above answers.
staff assaulted by patients/families and told they will be fired if they press charges
i do appreciate their efforts to keep us safe during the pandemic.  while still not ideal, it is so much better than many other hospitals have provided. 
","['appreciation']"
"that employees are valued as much as patients/members","['appreciation']"
"thank you's and bonuses.","['appreciation']"
"the thank you's, and encouragement.","['appreciation']"
"don't show appreciation","['appreciation']"
"when my work in compliment, charge nurses send thank you e-mails","['appreciation']"
"safety and ethics trainings are valuable.  i also appreciated the harassment trainings and policies that are followed here.","['appreciation']"
"my tl understand so little of my work. i have worked on projects for months before he is even aware of them. additionally i expect appreciation to be shown through advancement. ","['appreciation']"
"my manager appreciates and thanks me for my work.  if i make a mistake, i’m not shamed for it.","['appreciation']"
"all round appreciation and friendly approach from the top down  ","['appreciation']"
"verbal expression of appreciation and being included in the overall picture","['appreciation']"
"no appreciation is shown at all. ","['appreciation']"
"knowing my voice is asked for and heard.","['appreciation']"
"i do not always feel that staff involved in carrying out day to day operations are heard when concerns are voiced. ","['appreciation']"
"comments made  that i am appreciated","['appreciation']"
"recognition from managers always helps with the morale.","['appreciation']"
"no recognition for the work that we do.","['appreciation']"
"they are asked for.  _x000D_
they are heard._x000D_
","['appreciation']"
"i feel appreciated when my work is recognized and the time i put in is recognized.  ","['appreciation']"
"recognition as a mentor.","['appreciation']"
"my manager and their manager both thank people for what they have done and make sure to recognize people in larger settings","['appreciation']"
"the recognition for developing others.","['appreciation']"
"that you can work hard and its noticed. ","['appreciation']"
"great managers and always feeling appreciated","['appreciation']"
"little to nothing. appreciated is different than sense of fulfillment / accomplishment","['appreciation']"
"my immediate supervisor tells me i am appreciated and treats me well.","['appreciation']"
"no appreciation expressed. finger pointing culture. ","['appreciation']"
"other than my direct managers, ive never felt as the company appreciates me. i know its a large company and i am just doing my job, but as this question pertains to, i don't see it really. ","['appreciation']"
"always treated with respect and understanding. a genuine concern for my well being.","['appreciation']"
"hiring outside of the district when there are well qualified individuals within our existing pool of staff.  if you don't think there are qualified individuals than you need to cultivate them from within and respect the work and time that they put in to do that and honor their effort.","['appreciation']"
"if she stayed late/came in early occasionally to see night shift (even if it was for an hour 1-2 days a month) and make a loop around the unit to check on the night shift nurses i would feel more appreciated and that she was more accessable.","['appreciation']"
"that my opinions are heard and reviewed
that my job is connected to measurable improvements and is recognized","['appreciation']"
"recognition is given if you are doing well. and support is given if help is needed. ","['appreciation']"
"a simple thank you is enough for me.","['appreciation']"
"i don't know, or really care that much about it, honestly. my motivation is internal and so i don't care about outward shows of appreciation. ","['appreciation']"
"i don't need to feel appreciated.  i just want the district to do what is right for the students, and that starts at the building levels. ","['appreciation']"
"not sure,  just a feeling,  possibly we are a much larger company these days and not everybody can know or appreciate others work.","['appreciation']"
"there is a focus on being thorough but everyone values give time back when possible.","['appreciation']"
"i feel genuinely appreciated","['appreciation']"
"simple thank you or good job","['appreciation']"
"give options for lead roles even though the only lead role is already filled. (i find it pointless to work my booty off for someone that wont acknowledge or offer a more responsible role)","['appreciation']"
"i feel appreciated by knowing that my supervisors care and by making sure we have the resources that we need","['appreciation']"
"we can say our concerns and have some recognition. ","['appreciation']"
"gender gap and differing opinions are not appreciated.","['appreciation']"
"i do not feel appreciated by my principal, at all. ","['appreciation']"
"teachers and administrators show appreciation for are work with students. ","['appreciation']"
"my department family tells me of their appreciation almost every day. ","['appreciation']"
"the is department is not appreciated by the rest of the business. it's difficult to work your way up within the company.","['appreciation']"
"only being told the things you did wrong and not being appreciated for all the things you do right. ","['appreciation']"
"- receiving verbal affirmation and support from my bosses/supervisor
- friday breakfast 
- respect for office space 
","['appreciation']"
"i feel that when i submit an idea, that it is taken serious by the home office and if there is a possible chance that it can be incorporated into our daily work,
then they acknowledge that i have contributed to making our jobs easier.","['appreciation']"
"need more recognition for jobs well done ","['appreciation']"
"contributions are genuinely appreciated. effort is genuinely appreciated. ","['appreciation']"
"the respect given from my co workers","['appreciation']"
"overall i feel appreciated. at times there is just a lot going on at once","['appreciation']"
"i feel genuine appreciation from peers and the managers, most everyone has an attitude of wanting and willing to help.","['appreciation']"
"there is a lot of public recognition that i feel really lets other departments know how impactful people are, even if they don't see it firsthand.","['appreciation']"
"moving back to a 2 and 3 rota in the north sea. this will single-handedly lift the morale of the staff and stop valued staff leaving.","['appreciation']"
"my manager recognizes our efforts","['appreciation']"
"thank you notes from employees and my manager.","['appreciation']"
"recognition for doing well and giving us time for an explanation  on any changes made to system, plan or policy. ","['appreciation']"
"suggestions get noticed but no action is taken","['appreciation']"
"the respect i'm given","['appreciation']"
"when my ideas are heard.","['appreciation']"
"the mentality here is to just get the job done. there is no genuine appreciation here. it's more like this is what you did yesterday what are going to do for me today","['appreciation']"
"i feel appreciated by the people that i work with.","['appreciation']"
"for the last few years 5/3 has been cutting down on employee appreciation activities. branches have not been getting enough funding to do something nice for each employee._x000D_
","['appreciation']"
"other people taking the ideas and making them their own
no recognition for achievements when the site is awarded","['appreciation']"
"i feel appreciated at skywest because they have been very understanding of my needs and have on more than once occasion been very generous.","['appreciation']"
"employee ownership and shared recognition ","['appreciation']"
"i think is you have appreciated employeds is field great  cerotonina is better in the body . thanks","['appreciation']"
"feeling not being heard on occasion","['appreciation']"
"i feel as tho my manager and the people that work with me, genuinely appreciate the work i do and the effort i make to resolve issues and do my job.","['appreciation']"
"they are almost always appreciated and accepted","['appreciation']"
"variety of recognition avenues.  occasional 'well done'/sign of appreciation goes a long way and helps to reflect on the work we do when we can get bogged down in the day-to-day work we do.","['appreciation']"
"staff appreciation lunches, special dress up days, positive attitude","['appreciation']"
"people make sure to thank you for helping them.","['appreciation']"
"being encouraged by the principals and appreciated by the parents.","['appreciation']"
"lack of recognition. ","['appreciation']"
"videos from the head have done a great job of expressing thanks.","['appreciation']"
"the bonuses and the appreciation party","['appreciation']"
"they give us small tokens of appreciation.","['appreciation']"
"my principal and other teachers in my school. the students and their parents also make me feel appreciated.","['appreciation']"
"always hearing thank you, the little surprises sometimes left on my desk. ","['appreciation']"
"i'd appreciate funding to get my pmp","['appreciation']"
"i think a big part of feeling appreciated has to do with being tasked and staffed with meaningful and challenging work. i believe the firm is going in the right direction with this.","['appreciation']"
"through recognition, prizes... ","['appreciation']"
"co-workers constantly remind me i am appreciated for my work and always very friendly to give a helping hand ","['appreciation']"
"cat5 is very verbal so nothing make me feel appreciated i am told how much i am. that alone means everything to me. to feel like you employer actually appreciate the work you do. ","['appreciation']"
"thanks you for good work","['appreciation']"
"they are organized and respect other people's time","['appreciation']"
"when my tl recognizes when i'm stressed and is willing to rearrange due dates/re-shuffle work (instead of just saying, ""well do some late nights to catch up"")","['appreciation']"
"only the newest and latest seems valued","['appreciation']"
"informal and formal displays of support happen often and make me feel like an appreciated member of our school community.","['appreciation']"
"the fact that i have never once been told “hey man, i really appreciate all the help you’ve given us.” or anything like that ","['appreciation']"
"my ideas are encouraged but quickly tabled and not appreciated_x000D_
","['appreciation']"
"the extra's done for the staff. i.e.monthly meals, monthly appreciation awards, kindness shown to associates and their families in times of emergencies, illness, or death of a loved one.  ","['appreciation']"
"recognition from managers","['appreciation']"
"minnetonka values opinions of staff and ensures those people are around the table. ","['appreciation']"
"i receive recognition for good work and i'm rewarded for it.","['appreciation']"
"little recognition from the top.","['appreciation']"
"my work is valued and i am shown that through action and words. i love my job and hope to continue working at choice for years to come.","['appreciation']"
"i don’t attend any but i believe my opinion, whether requested or offered is valued","['appreciation']"
"our bonuses and a thanks for the work you do from my managers. ","['appreciation']"
"movement mortgage has a award ceremony for all of the processors, closers, pre closing, but govt insuring and post-closing doesnt get invited to that.  that is one reason i don't feel appreciated at work","['appreciation']"
"my input is being valued","['appreciation']"
"visibility and recognition","['appreciation']"
"it's the little things that go a long way to make employees feel appreciated. a half-hour on a sunny day really shows that the company wants us to enjoy ourselves outside of work. it's things like that, that i really hope don't go away. ","['appreciation']"
"racism in their cincinnati offices. staff of color will never be appreciated or heard. ","['appreciation']"
"bonuses and recognition ","['appreciation']"
"people here recognize that we're all in the same boat with being busy, constantly pivoting, and under pressure. i think in general there is a culture of appreciation here. i've never felt as rewarded – in terms of people recognizing my efforts – than i have at spothero, and it makes happy to be able to recognize the efforts of others in this environment, as well. ","['appreciation']"
"sometimes not getting heard or not taken seriously. but just slightly ","['appreciation']"
"i feel appreciated at work because my manager does all she can to work around my schedules and compensates me when i work extra hours or stay late in a different area to help out.  and she also acknowledges when employees exceed expectations ","['appreciation']"
"appreciation day ,can week lunch,kuddos,,thank you words ","['appreciation']"
"managers go out of their way to acknowledge accomplishments ","['appreciation']"
"great recognition for the employees ","['appreciation']"
"recognition by mgr","['appreciation']"
"my concerns and ideas are heard by my immediate managers, who take the time to get to know me personally.  ","['appreciation']"
"core values of the company.","['appreciation']"
"a quiet ""thank you"" - not a public announcement.
when i am asked for my thoughts.
when i am included in a project.","['appreciation']"
"being appropriately compensated, receiving recognition and praise for my work.","['appreciation']"
"professional cred info. visits to other depts. to understand their values and measurements. ","['appreciation']"
"i feel that i can give suggestions and that my voice is heard. ","['appreciation']"
"highly appreciated and warmly welcomed
","['appreciation']"
"recognition for success and hard work","['appreciation']"
"further acknowledge branch operations, duties and tasks. ","['appreciation']"
"lack of respect from my immediate manager by not taking what i do seriously or meaningfully for habitat.","['appreciation']"
"the staff, students and parents all go out of their way to make me feel appreciated and respected.  ","['appreciation']"
"i just don't feel an air of appreciation regarding work ethics.  if a person is outgoing and engaging they seem to get more credit.  someone who stays in their work space and gets their work done but may not socialize much seems to get overlooked.  because i stay to myself and get my work done, i think acuity forgets i am here working to save them money.","['appreciation']"
"lack of recognition for initiative and unique supports clinicians provide from other areas of the company. 
feeling like clinicians bear the load of fiscal support for the company but do not get recognition or investment.
time for consultation, paperwork and other supervision commitments are not maintained or adequately provided.","['appreciation']"
"i like that our voices are allowed to be heard. people can speak freely and respect each other.","['appreciation']"
"thanks and gratitude","['appreciation']"
"lower premiums
lower deductables
better coverage.

love the employee discount.  thank you!","['appreciation']"
"there is little recognition for what we do ","['appreciation']"
"given only some time to attend picnics or other employee appreciation activities on campus","['appreciation']"
"absence of  any meaningful recognition (at all levels) for consistently hard work and dedication to the organization ","['appreciation']"
"when i get comments from physicians i'm working for that they appreciate my work.  getting a raise yearly as well as bonuses.","['appreciation']"
"we sit down a few times a week to go over any questions i have and she helps me to know ""who"" to go to in the organization.  i feel she keeps me very informed of what is going on and i feel she values my opinion.  ","['appreciation']"
"at times the atmosphere can be very cut throat. feeling supported and guided would be a better approach rather than overly competitive and ranked against others on a constant basis.  while both motivate people to perform,  and can lead to healthy competition-  it would be rewarding and motivating to feel more valued for the hard work / time and dedication put forth.  a simple job well done goes a long way. ","['appreciation']"
"don't believe opinion is valued","['appreciation']"
"when titles are thrown out the window and i'm given and equal seat at the table where my ideas, experience, and values are all taken seriously and heard. ","['appreciation']"
"the condescension showed by other shifts to people that work nights like me. not enough appreciation is given to those who are actually able to stay up all night despite the monotony and get the job done. there is some value in being able to function effectively on off shifts even if it is counter to one's circadian rhythm. not everyone is suited for this.","['appreciation']"
"field staff are rarely heard on ideas and thoughts. there is no designated person to send thoughts and ideas","['appreciation']"
"show more appreciation for the overload of work that na's and nurses provide on a daily. ","['appreciation']"
"nothing specific but it seems like in general lo’s aren’t appreciated ","['appreciation']"
"you get the normal - thank you but i don't think it is really genuine, and you don't get recognize if you do something good or go out of your way to help someone, and i think the spotlight points are only given,  because they tell them to give them out because they  haven't given any out lately. ","['appreciation']"
"i am told that i am appreciated many times.  ","['appreciation']"
"being treated with respect, supplying resources to get the job done.","['appreciation']"
"i appreciate we are treated as adults and as equals. there is much respect.","['appreciation']"
"the target keeps moving.  the job i do keeps changing.  dataxu is constantly worried about structure, we don't have time to appreciate great work.  i also think that some long-time dataxu people get undue appreciation.  some people that are 3 and 4 years+ are part of the...""problem""?  and we believe they can do no wrong.","['appreciation']"
"the fact that they acknowledge my work","['appreciation']"
"my boss saying thank you.","['appreciation']"
"our department is always left out during recognition ","['appreciation']"
"that my voice is welcome and heard","['appreciation']"
"i receive constant commendation. it makes me feel appreciated to know that i am doing a good job for the bank","['appreciation']"
"my opinion is valued and i am respected.","['appreciation']"
"everyone is very verbal in their appreciation.","['appreciation']"
"knowing the overall core values and believing a change will come to the kc location.","['appreciation']"
"formal and informal recognition and appreciation from my supervisor and peers.","['appreciation']"
"the fact that my ideas get appreciated by the store manager","['appreciation']"
"staff expresses thanks","['appreciation']"
"people appreciate my views","['appreciation']"
"going above and beyond job expectations is never acknowledged. gratitude is never shown. ","['appreciation']"
"everyone's voice is heard","['appreciation']"
"if i  have a slow month, our manager encourages me. i  appreciate that very much.
rich reminds me the glass is half full,
not half empty.","['appreciation']"
"health very good thanks ","['appreciation']"
"nobody tells us how they appreciate our hard work. ","['appreciation']"
"lack of show of support from the manager. rude, noncompliant, and disruptive patient populations that is often seen on the unit. seldom displayed surprise staff appreciation without reason (i.e. hospital week, nurses' week etc.)","['appreciation']"
"my attorneys show their appreciation by thanking me outright. bonuses show appreciation also!","['appreciation']"
"there is lack of a culture of appreciation at crowdstreet.  ","['appreciation']"
"seemingly unequal distribution of work, and the shortcoming of appreciation for the work efforts put forth.","['appreciation']"
"i believe the business tries in many ways to be inclusive, but like any large business, lower level employees are not often kept in the know or have a lot of influence on how things are done. i think those with a voice are listened to frequently and with respect, but in such a large company it is easy to just fall in line with everyone else. ","['appreciation']"
"core values ","['appreciation']"
"sincere appreciation for job well done_x000D_
make it more about getting the job done and less about walking around and checking who's here, at what time, how many hours we put in, etc. we are exempt professionals - here to get the job done, not punch a clock._x000D_
care about what my department has accomplished and appear interested","['appreciation']"
"poor workers appear to be as appreciated as diligent workers","['appreciation']"
"recognition by others for my efforts.","['appreciation']"
"the care they have for me personally and professionally.  i feel valued and invested in.","['appreciation']"
"i feel appreciated because i am recognized for hard work on sometimes very mundane tasks. ","['appreciation']"
"being recognized for the good work i do in a meaningful way such as verbal or written recognition. (both in private and in public)","['appreciation']"
"the recognition when we do something good. ","['appreciation']"
"two things that make me feel appreciated at udf is how happy costumers be to get ice cream from me just to tell me i made their day and for my manager to tell me i had a wonderful time working with you today.","['appreciation']"
"sprout values employee ideas and contributions and everyone is encouraged to voice opinions on what could be improved. ","['appreciation']"
"bonuses  and a thank you for the hard work outside of my department","['appreciation']"
"lack of recognition for going above and beyond
","['appreciation']"
"i appreciate knowing that me and my family are well cared for medically.  when encountering legal issues, i am appreciating the employee support program as well.","['appreciation']"
"i believe in the candy cart. a once in a while appreciation is key. everyone needs a pat on the back and to know their hard work does not go unnoticed. even if its by a kind word or free candy/ food/ drink. its appreciated.  ","['appreciation']"
